"<div style=""text-align: left;"">LeetCode 4. 寻找两个正序数组的中位数</div>","<div style=""text-align: left;"">思路1：归并排序<br>- 时间复杂度：O(m+n)<br>- 空间复杂度：O(1)<br>- 思路：合并两个有序数组，找到中位数<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    double findMedianSortedArrays(vector&lt;int&gt;&amp; nums1, vector&lt;int&gt;&amp; nums2) {<br>        int m = nums1.size(), n = nums2.size();<br>        int total = m + n;<br>        int i = 0, j = 0;<br>        int prev = 0, curr = 0;<br>        <br>        for (int k = 0; k &lt;= total / 2; k++) {<br>            prev = curr;<br>            if (i &lt; m &amp;&amp; (j &gt;= n || nums1[i] &lt; nums2[j])) {<br>                curr = nums1[i++];<br>            } else {<br>                curr = nums2[j++];<br>            }<br>        }<br>        <br>        return total % 2 == 0 ? (prev + curr) / 2.0 : curr;<br>    }<br>};<br></code></pre><br><br>思路2：二分查找（最优）<br>- 时间复杂度：O(log(min(m,n)))<br>- 空间复杂度：O(1)<br>- 思路：在较短的数组上二分查找分割点，使得左右两部分元素个数相等或差1<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    double findMedianSortedArrays(vector&lt;int&gt;&amp; nums1, vector&lt;int&gt;&amp; nums2) {<br>        if (nums1.size() &gt; nums2.size()) {<br>            return findMedianSortedArrays(nums2, nums1);<br>        }<br>        <br>        int m = nums1.size(), n = nums2.size();<br>        int left = 0, right = m;<br>        <br>        while (left &lt;= right) {<br>            int partition1 = (left + right) / 2;<br>            int partition2 = (m + n + 1) / 2 - partition1;<br>            <br>            int maxLeft1 = (partition1 == 0) ? INT_MIN : nums1[partition1 - 1];<br>            int minRight1 = (partition1 == m) ? INT_MAX : nums1[partition1];<br>            int maxLeft2 = (partition2 == 0) ? INT_MIN : nums2[partition2 - 1];<br>            int minRight2 = (partition2 == n) ? INT_MAX : nums2[partition2];<br>            <br>            if (maxLeft1 &lt;= minRight2 &amp;&amp; maxLeft2 &lt;= minRight1) {<br>                if ((m + n) % 2 == 0) {<br>                    return (max(maxLeft1, maxLeft2) + min(minRight1, minRight2)) / 2.0;<br>                } else {<br>                    return max(maxLeft1, maxLeft2);<br>                }<br>            } else if (maxLeft1 &gt; minRight2) {<br>                right = partition1 - 1;<br>            } else {<br>                left = partition1 + 1;<br>            }<br>        }<br>        return 0.0;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 35. 搜索插入位置</div>","<div style=""text-align: left;"">思路1：二分查找<br>- 时间复杂度：O(logn)<br>- 空间复杂度：O(1)<br>- 思路：使用二分查找找到目标值或插入位置<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    int searchInsert(vector&lt;int&gt;&amp; nums, int target) {<br>        int left = 0, right = nums.size() - 1;<br>        <br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            if (nums[mid] == target) {<br>                return mid;<br>            } else if (nums[mid] &lt; target) {<br>                left = mid + 1;<br>            } else {<br>                right = mid - 1;<br>            }<br>        }<br>        <br>        return left;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 33. 搜索旋转排序数组</div>","<div style=""text-align: left;"">思路：二分查找<br>- 时间复杂度：O(logn)<br>- 空间复杂度：O(1)<br>- 思路：根据mid位置判断左半部分还是右半部分是有序的，然后决定搜索方向<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    int search(vector&lt;int&gt;&amp; nums, int target) {<br>        int left = 0, right = nums.size() - 1;<br>        <br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            if (nums[mid] == target) return mid;<br>            <br>            // 左半部分有序<br>            if (nums[left] &lt;= nums[mid]) {<br>                if (nums[left] &lt;= target &amp;&amp; target &lt; nums[mid]) {<br>                    right = mid - 1;<br>                } else {<br>                    left = mid + 1;<br>                }<br>            } else { // 右半部分有序<br>                if (nums[mid] &lt; target &amp;&amp; target &lt;= nums[right]) {<br>                    left = mid + 1;<br>                } else {<br>                    right = mid - 1;<br>                }<br>            }<br>        }<br>        <br>        return -1;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 34. 在排序数组中查找元素的第一个和最后一个位置</div>","<div style=""text-align: left;"">思路：二分查找<br>- 时间复杂度：O(logn)<br>- 空间复杂度：O(1)<br>- 思路：使用两次二分查找，分别找到第一个和最后一个位置<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    vector&lt;int&gt; searchRange(vector&lt;int&gt;&amp; nums, int target) {<br>        int first = findFirst(nums, target);<br>        if (first == -1) return {-1, -1};<br>        int last = findLast(nums, target);<br>        return {first, last};<br>    }<br>    <br>private:<br>    int findFirst(vector&lt;int&gt;&amp; nums, int target) {<br>        int left = 0, right = nums.size() - 1;<br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            if (nums[mid] &lt; target) {<br>                left = mid + 1;<br>            } else if (nums[mid] &gt; target) {<br>                right = mid - 1;<br>            } else {<br>                if (mid == 0 || nums[mid - 1] != target) return mid;<br>                right = mid - 1;<br>            }<br>        }<br>        return -1;<br>    }<br>    <br>    int findLast(vector&lt;int&gt;&amp; nums, int target) {<br>        int left = 0, right = nums.size() - 1;<br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            if (nums[mid] &lt; target) {<br>                left = mid + 1;<br>            } else if (nums[mid] &gt; target) {<br>                right = mid - 1;<br>            } else {<br>                if (mid == nums.size() - 1 || nums[mid + 1] != target) return mid;<br>                left = mid + 1;<br>            }<br>        }<br>        return -1;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 74. 搜索二维矩阵</div>","<div style=""text-align: left;"">思路：二分查找<br>- 时间复杂度：O(log(mn))<br>- 空间复杂度：O(1)<br>- 思路：将二维矩阵视为一维数组进行二分查找<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    bool searchMatrix(vector&lt;vector&lt;int&gt;&gt;&amp; matrix, int target) {<br>        int m = matrix.size(), n = matrix[0].size();<br>        int left = 0, right = m * n - 1;<br>        <br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            int row = mid / n, col = mid % n;<br>            <br>            if (matrix[row][col] == target) {<br>                return true;<br>            } else if (matrix[row][col] &lt; target) {<br>                left = mid + 1;<br>            } else {<br>                right = mid - 1;<br>            }<br>        }<br>        <br>        return false;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 81. 搜索旋转排序数组 II</div>","<div style=""text-align: left;"">思路：二分查找<br>- 时间复杂度：O(n)最坏情况<br>- 空间复杂度：O(1)<br>- 思路：处理重复元素的情况，当nums[left]==nums[mid]时，left++跳过重复<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    bool search(vector&lt;int&gt;&amp; nums, int target) {<br>        int left = 0, right = nums.size() - 1;<br>        <br>        while (left &lt;= right) {<br>            int mid = left + (right - left) / 2;<br>            if (nums[mid] == target) return true;<br>            <br>            if (nums[left] == nums[mid] &amp;&amp; nums[mid] == nums[right]) {<br>                left++;<br>                right--;<br>            } else if (nums[left] &lt;= nums[mid]) {<br>                if (nums[left] &lt;= target &amp;&amp; target &lt; nums[mid]) {<br>                    right = mid - 1;<br>                } else {<br>                    left = mid + 1;<br>                }<br>            } else {<br>                if (nums[mid] &lt; target &amp;&amp; target &lt;= nums[right]) {<br>                    left = mid + 1;<br>                } else {<br>                    right = mid - 1;<br>                }<br>            }<br>        }<br>        <br>        return false;<br>    }<br>};<br></code></pre></div>",数组-二分查找
"<div style=""text-align: left;"">LeetCode 11. 盛最多水的容器</div>","<div style=""text-align: left;"">思路：双指针<br>- 时间复杂度：O(n)<br>- 空间复杂度：O(1)<br>- 思路：从两端开始，每次移动较短的那一边，因为移动较长边不会增加面积<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    int maxArea(vector&lt;int&gt;&amp; height) {<br>        int left = 0, right = height.size() - 1;<br>        int maxArea = 0;<br>        <br>        while (left &lt; right) {<br>            int area = min(height[left], height[right]) * (right - left);<br>            maxArea = max(maxArea, area);<br>            <br>            if (height[left] &lt; height[right]) {<br>                left++;<br>            } else {<br>                right--;<br>            }<br>        }<br>        <br>        return maxArea;<br>    }<br>};<br></code></pre></div>",数组-双指针
"<div style=""text-align: left;"">LeetCode 15. 三数之和</div>","<div style=""text-align: left;"">思路：排序+双指针<br>- 时间复杂度：O(n²)<br>- 空间复杂度：O(1)（不考虑结果数组）<br>- 思路：先排序，固定第一个数，用双指针找另外两个数<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    vector&lt;vector&lt;int&gt;&gt; threeSum(vector&lt;int&gt;&amp; nums) {<br>        vector&lt;vector&lt;int&gt;&gt; result;<br>        int n = nums.size();<br>        if (n &lt; 3) return result;<br>        <br>        sort(nums.begin(), nums.end());<br>        <br>        for (int i = 0; i &lt; n - 2; i++) {<br>            // 跳过重复元素<br>            if (i &gt; 0 &amp;&amp; nums[i] == nums[i - 1]) continue;<br>            <br>            int left = i + 1, right = n - 1;<br>            while (left &lt; right) {<br>                int sum = nums[i] + nums[left] + nums[right];<br>                if (sum == 0) {<br>                    result.push_back({nums[i], nums[left], nums[right]});<br>                    // 跳过重复元素<br>                    while (left &lt; right &amp;&amp; nums[left] == nums[left + 1]) left++;<br>                    while (left &lt; right &amp;&amp; nums[right] == nums[right - 1]) right--;<br>                    left++;<br>                    right--;<br>                } else if (sum &lt; 0) {<br>                    left++;<br>                } else {<br>                    right--;<br>                }<br>            }<br>        }<br>        <br>        return result;<br>    }<br>};<br></code></pre></div>",数组-双指针
"<div style=""text-align: left;"">LeetCode 26. 删除有序数组中的重复项</div>","<div style=""text-align: left;"">思路：双指针<br>- 时间复杂度：O(n)<br>- 空间复杂度：O(1)<br>- 思路：使用快慢指针，快指针遍历数组，慢指针指向不重复元素的位置<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    int removeDuplicates(vector&lt;int&gt;&amp; nums) {<br>        if (nums.empty()) return 0;<br>        <br>        int slow = 0;<br>        for (int fast = 1; fast &lt; nums.size(); fast++) {<br>            if (nums[fast] != nums[slow]) {<br>                slow++;<br>                nums[slow] = nums[fast];<br>            }<br>        }<br>        return slow + 1;<br>    }<br>};<br></code></pre></div>",数组-双指针
"<div style=""text-align: left;"">LeetCode 27. 移除元素</div>","<div style=""text-align: left;"">思路：双指针<br>- 时间复杂度：O(n)<br>- 空间复杂度：O(1)<br>- 思路：使用快慢指针，快指针遍历数组，慢指针指向不等于val的元素位置<br><br><pre><code style=""white-space: pre; font-family: monospace; text-align: left; display: block; background-color: #f5f5f5; padding: 10px; border-radius: 4px; overflow-x: auto;"">class Solution {<br>public:<br>    int removeElement(vector&lt;int&gt;&amp; nums, int val) {<br>        int slow = 0;<br>        for (int fast = 0; fast &lt; nums.size(); fast++) {<br>            if (nums[fast] != val) {<br>                nums[slow] = nums[fast];<br>                slow++;<br>            }<br>        }<br>        return slow;<br>    }<br>};<br></code></pre></div>",数组-双指针
